"energy","loudness","acousticness","instrumentalness","tempo","duration_ms","track_age","track_popularity"
0.816,-4.584,0.00205,0.106,127.95,202500,5,58
0.526,-8.659,0.129,0,123.935,168387,5,91
0.841,-6.433,0.0906,0.00411,126.026,184582,5,67
0.731,-4.985,0.0191,7.82e-06,119.997,240000,5,42
0.899,-4.202,0.00235,0.000392,125.978,198839,5,70
0.717,-7.049,0.123,0.000707,103.99,257943,8,64
0.872,-5.896,0.121,7.08e-06,125.03,190302,6,79
0.541,-7.14,0.123,4.74e-05,115.987,154654,5,48
0.633,-5.545,0.203,0.000266,121.995,179016,5,53
0.725,-6.055,0.018,9.29e-06,118.034,167859,5,75
0.687,-6.348,0.0528,0,118.116,154286,5,46
0.524,-8.804,0.127,0.00129,111.991,183183,5,67
0.699,-7.115,0.0352,0,122.019,216256,5,65
0.745,-4.942,0.0814,9.71e-05,110.051,158091,5,56
0.547,-8.738,0.072,9.21e-05,120.024,203227,5,42
0.797,-5.68,0.259,0,119.865,185943,6,74
0.946,-2.245,0.0978,1.37e-06,104.983,208367,6,65
0.757,-3.642,0.0997,0,128.015,204591,5,64
0.779,-4.239,0.142,0,110.026,169964,5,51
0.765,-3.151,0.0915,0.00107,127.978,172520,6,63
0.693,-4.722,0.458,0,118.97,236765,5,83
0.923,-3.273,0.00395,3e-05,130.052,153231,5,55
0.827,-5.081,0.429,0,115.349,167249,5,39
0.965,-4.881,0.00108,0.523,123.008,291785,5,48
0.918,-1.137,0.199,0,126.022,182000,5,59
0.562,-11.431,0.062,0,151.631,242385,5,64
0.88,-5.153,0.0804,0,127.013,177638,5,42
0.8,-3.988,0.0267,0.000138,127.966,160184,7,70
0.8,-5.606,0.0209,0.000479,122.008,204693,5,57
0.857,-5.219,0.167,1.36e-05,130.069,225160,5,21
0.887,-3.812,0.0457,0.0207,125.229,131204,5,63
0.911,-4.372,0.0316,0.00648,126.112,170000,6,54
0.776,-5.898,0.0233,1.38e-05,125.07,147027,5,79
0.664,-8.026,0.0416,0.000104,122.014,204514,5,72
0.859,-5.03,0.479,0.0645,124.948,147840,6,80
0.793,-5.851,0.0214,0.00046,90.06,157333,6,47
0.674,-6.329,0.00339,8.55e-05,125.037,200640,6,19
0.823,-3.563,0.0663,1.17e-05,128.136,160794,5,79
0.591,-3.905,0.128,6.69e-06,128.002,225000,5,59
0.906,-4.699,0.0202,0.000715,126.012,178671,5,68
0.721,-5.457,0.0149,0.00424,121.966,176219,5,72
0.758,-5.658,0.409,0.000544,125.022,142230,5,66
0.793,-6.16,0.0318,0.0372,121.995,220205,5,59
0.786,-4.665,0.232,0.000106,105.945,179151,6,64
0.839,-2.84,0.0145,0.000187,126.009,223533,6,9
0.726,-3.753,0.0717,0,122.055,196475,6,41
0.766,-5.727,0.212,0,114.054,195924,5,69
0.866,-3.754,0.0337,0,121.927,183934,5,66
0.882,-3.565,0.247,0.00202,127.994,195000,6,68
0.773,-3.791,0.429,7.07e-06,123.149,193548,6,66
0.706,-5.357,0.091,0,115.268,127826,6,63
0.874,-3.885,0.169,1.77e-06,119.85,184027,6,68
0.684,-4.721,0.175,0,125.655,175312,6,67
0.802,-4.763,0.022,0,121.991,179016,6,62
0.766,-5.84,0.0511,1.35e-05,121.445,190645,6,9
0.888,-4.612,0.00166,0,126.056,157024,6,59
0.707,-6.19,0.0536,9.29e-05,127.033,188656,5,71
0.724,-4.809,0.0835,0,104.048,208947,6,21
0.575,-6.998,0.374,0,117.999,211362,6,81
0.785,-4.879,0.0643,1.34e-05,122.997,184564,5,69
0.818,-4.517,0.131,1.78e-05,126.015,167990,6,56
0.806,-4.777,0.00908,0,119.972,163000,5,56
0.888,-2.851,0.0216,0,126.094,185714,6,60
0.574,-8.584,0.0942,0,125.989,201905,6,40
0.879,-4.514,0.0693,0,124.972,183360,5,57
0.746,-5.96,0.241,0,124.971,212280,5,70
0.718,-7.149,0.0107,0.0102,122.993,176098,6,63
0.848,-6.248,0.0427,4.49e-06,124.993,193137,6,65
0.78,-4.547,0.333,0,122.688,183341,6,56
0.708,-5.001,0.24,0,103.16,132233,6,2
0.712,-4.302,0.334,1.1e-06,114.989,196493,6,53
0.906,-3.638,0.102,0.0206,123.047,221773,6,11
0.775,-4.612,0.269,0,119.964,190295,6,77
0.665,-6.92,0.169,0,115.946,193640,6,56
0.95,-2.588,0.0207,1.25e-06,125.974,156168,6,65
0.819,-3.811,0.117,0,128.09,186094,6,34
0.836,-6.495,0.229,0,122.899,170103,6,54
0.646,-4.23,0.116,0,104.998,196571,6,51
0.854,-5.253,0.054,0,111.969,180571,5,50
0.622,-5.382,0.532,0,119.992,217804,6,52
0.795,-3.548,0.0635,0,127.992,192402,6,76
0.895,-3.787,0.128,0,124.964,205653,6,75
0.724,-5.108,0.219,0,109.984,169000,6,52
0.931,-3.053,0.354,3.72e-06,123.012,200893,5,62
0.795,-5.439,0.0334,1.05e-05,127.959,226875,6,65
0.823,-4.7,0.073,0,118.958,191786,5,62
0.885,-3.574,0.143,0,121.082,174545,5,10
0.857,-3.432,0.0368,0,127.949,198750,6,55
0.613,-5.614,0.0386,0,104.988,206875,6,49
0.754,-3.634,0.264,5.85e-05,116.524,186750,5,70
0.698,-3.409,0.00236,5.24e-05,127.816,234609,5,61
0.825,-3.117,0.031,0,109.991,186000,6,60
0.757,-2.415,0.327,0,122.813,191650,7,63
0.63,-6.396,0.0796,0,104.845,184020,6,73
0.786,-4.87,0.214,0,91.042,195947,6,60
0.705,-5.039,0.045,0,124.957,182161,5,62
0.647,-7.162,0.399,0,125.95,176773,5,67
0.907,-4.157,0.0191,1.23e-05,125.932,186667,6,61
0.617,-5.862,0.27,0,119.858,164010,6,71
0.873,-5.65,0.0715,0.00982,122.011,277262,6,80
0.617,-6.077,0.179,0,121.977,167912,6,68
0.585,-11.024,0.145,0.00485,125.161,155520,5,60
0.687,-5.295,0.269,0,96.964,211040,6,66
0.765,-4.107,0.317,0,121.924,169467,5,75
0.83,-4.983,0.0229,0.000127,126.007,187301,6,58
0.765,-5.562,0.151,0,109.989,163636,6,74
0.901,-1.431,0.145,1.03e-05,125.115,180485,7,68
0.582,-7.58,0.221,0.00627,124.012,194618,6,72
0.693,-6.245,0.329,0,124.206,197876,6,70
0.674,-5.146,0.0106,3.58e-06,105.027,178512,5,58
0.754,-4.204,0.0688,0,128.044,180820,7,67
0.924,-3.839,0.00828,3.8e-06,125.983,158095,6,62
0.921,-1.936,0.0328,0,120.056,218480,6,65
0.854,-4.128,0.0673,0,124.024,214641,6,51
0.523,-12.649,0.00959,0.000155,127.977,181875,6,54
0.606,-5.115,0.131,0,169.988,211680,6,76
0.723,-6.976,0.179,1.23e-05,113.778,163805,6,83
0.764,-4.399,0.0476,9.44e-05,121.958,163216,7,63
0.888,-2.872,0.00553,0.0011,125.027,157000,6,70
0.713,-6.293,0.338,0,94.05,184653,6,70
0.734,-6.423,0.00719,1.49e-05,123.033,177073,7,56
0.735,-3.925,0.017,1.78e-06,119.981,169157,7,65
0.846,-2.432,0.0485,0,114.955,174933,8,61
0.809,-5.726,0.415,0,100.071,202520,7,60
0.898,-4.569,0.0976,1.08e-05,124.018,181040,6,63
0.674,-6.246,0.0216,5.88e-05,121.011,168636,6,54
0.672,-4.966,0.253,0,98.005,198880,6,70
0.656,-5.299,0.143,5.76e-05,103.081,181960,6,6
0.505,-6.389,0.158,0,99.017,217293,7,70
0.597,-6.724,0.158,2.21e-06,175.903,179500,7,54
0.887,-4.311,0.016,0.000503,122.015,229184,6,83
0.823,-4.881,0.00576,7.42e-06,117.993,216000,7,53
0.708,-5.385,0.109,0.0011,111.924,167871,8,55
0.858,-4.844,0.00163,0,133.993,181673,7,81
0.821,-4.527,0.136,0.000115,104.961,222000,8,58
0.716,-5.485,0.0421,0.000467,125.064,161280,5,75
0.497,-5.763,0.152,0,99.137,236853,7,73
0.605,-5.128,0.239,1.41e-05,122.956,212733,6,73
0.713,-4.826,0.0754,0,89.996,157005,7,57
0.741,-4.989,0.0323,0,123.07,203000,8,25
0.924,-3.43,0.149,0.251,120.018,150005,6,55
0.835,-5.298,0.0166,0,125.983,176658,11,80
0.872,-3.641,0.167,0,104.592,201257,7,69
0.794,-4.118,0.101,0,104.014,184134,6,74
0.903,-3.921,0.121,0.000123,125.948,166947,7,65
0.705,-4.734,0.0958,0.000133,110.004,240617,7,50
0.733,-5.539,0.0249,0.000318,125.993,208107,5,66
0.826,-3.978,0.142,0.03,100.012,212280,5,71
0.834,-2.867,0.374,0,128.005,215760,7,79
0.761,-5.687,0.0529,0.0119,124.957,173067,6,76
0.794,-3.992,0.148,0,112.071,194360,9,55
0.704,-4.724,0.0691,0,133.002,187436,6,87
0.833,-3.964,0.0112,0,127.948,209341,7,35
0.486,-6.431,0.0129,0,128.038,230762,6,77
0.656,-4.67,0.0737,0,130.089,183027,6,83
0.471,-8.199,0.0946,0,127.963,183345,7,51
0.689,-6.522,0.0655,1.45e-06,131.945,129238,7,2
0.722,-5.751,0.0156,0,127.877,200322,6,68
0.968,-4.083,0.0224,0.922,129.998,199245,6,50
0.739,-7.786,0.00987,1.88e-06,125.994,217143,6,42
0.425,-10.965,0.328,0.13,135.128,194088,6,95
0.939,-1.7,0.0728,0.000187,128.048,191500,6,50
0.776,-2.698,0.363,0.00119,129.03,190698,7,21
0.91,-3.621,0.00196,0.0316,128.036,138750,6,63
0.792,-6.4,0.055,0.0236,128.024,185161,6,56
0.809,-4.34,0.00736,0,128.045,173797,7,2
0.874,-6.276,0.0286,0.633,127.99,283193,8,2
0.711,-5.062,0.111,6.13e-05,125.089,191954,6,49
0.888,-4.151,0.000753,0.00535,128.025,195000,6,60
0.914,-3.919,0.0206,0.623,128.184,161250,6,45
0.678,-5.48,0.0259,2.2e-05,126.061,178132,6,56
0.773,-6.436,0.0153,0,131.085,190992,7,41
0.954,-1.835,0.119,0.168,128.014,162187,6,70
